userID,productID,rating,label,date,review,sentiment label
125274,1814,1.0,-1,2014-12-01,"Just left the spotted pig, where they should at least try to accommodate a new customer with a simple request  ... $21 for a burger with roquefort cheese and I'm asking them to substitute the cheese. Answer received? ""It's been served like that for 10 years and it's never been a problem"".  Mind you, there's a grilled cheese on the menu (so clearly another cheese is on hand) ... and they also offered to take the cheese off (I guess I should have my cheeseburger sans cheese). But apparently it disturbs the kitchen's flow to just throw a different cheese on a burger while it's grilling ... Unfortunately I cannot recommend this establishment (with seats so tight you might as well sit on your date's lap) ",0
125275,1814,1.0,-1,2014-11-21,"The food is good, the atmosphere convivial, and evokes the atmosphere of a British pub. BUTnot for anyone over the age of about 35.  Virtually all of the seats are very low and have no back support whatsoever.  After dining there with a friend, I required chiropractic treatment and massage therapy for the next three days to repair the damage to my back. If you are 40 years or older - ""Beware The Spotted Pig""!",0
125276,1814,1.0,-1,2014-11-11,"First impression counts, the host, obviously too cool to work there. Don't know his name but African American. I asked for a spot for one, he just looked at me with dead eyes and said you an get a spot at the bar. I sat myself, which suits me fine, but the host FAILED to inform me that the kitchen will be closing in 5 minutes. What a dick.",0
125277,1814,1.0,-1,2014-11-07,"express auto at 2 prospect st metuchen with mike as president set my car on fire . the mechanic was not experienced enough to do the work correctly. i took the buick to an experienced mechanic at buick and he charged me $ 1300 to rewire it. then i asked mike to change the trans filter and the mechanic did not add any trans fluid and trans burned out. then mike said he would put a jasper trans in the car for a payment of $ 215o in cash and guarantee it for 75,000 miles. instead he took the car to a cheaper place and put in a fixer upper which lasted 10,000 miles. finally, mike put me into a car with no brakes and i rolled down the incline in front of his shop onto rt 27 traffic where i could have been killed. he owes me $ 4,500 plus int.",0
125278,1814,1.0,-1,2014-10-23,"Resorts World in Queens is DEFINITELY STINGY with their comps no doubt. The valet parking is expensive as well. At Maryland Live the valet parking is $5 dollars, and its a much classier casino! Another comparison between the two is Resorts in Queens machines take single dollars, and Maryland Live does NOT only $5 bills and up!",0
125279,1814,1.0,-1,2014-09-09,I am a native New Yorker who first visited the Spotted Pig 10 years ago. I decided to have dinner with two buddies of mine. I put my name down on the list and was told the wait would be an hour which was fine. After an hour of waiting I was told it would we were up next for a table. After an additional 30 minutes of waiting we were seated. I complained to the host who said they had large parties. You think he could have offered up one round of beers on the house. While the burger was good is wasn't great and NOT worth a 1.5 hour wait. Tiny little restrooms and a very uncomfortable dining experience on account of how diminutive the physical space of the restaurant is. The shoe string fries were Horrible. I will never go back and stick with 5 Napkin Burger instead.,0
125280,1814,1.0,-1,2014-07-27,It used to be way better ,0
125281,1814,1.0,-1,2014-07-06,TERRIBLE SERVICE!!!! Don't bother. Doesn't live up to the hype. Doesn't offer any brown liquor cocktails. A well whiskey Old Fashioned was $13. The burger was the only reason it got A star. I asked for lettuce and tomato for my burger and was told I could order a salad on top of my $21 burger if I wanted lettuce with it. Completely unacceptable. Bottom line ... Will never go back!!!,0
125282,1814,1.0,-1,2014-05-24,"Impolite and unprepared hostess, we were disrespected I went to Spotted Pig on May 15th and had the most terrible experience with an employee of the restaurant. The hostess was very impolite, spoke very loud, and had no patience in answering doubts. We had to wait in line for almost 2 hours because she was unprepared on managing the list, and also because she noticed that my wife was upset so I believe she did it on purpose as well, because she was sarcastic all the time, calling my wife a delightful person, and after a almost 2 hour wait said that would buy drinks for us given the wait which never happened, she was really being sarcastic and making fun of (but we were early and had no one waiting outside, just some couples inside), but we were a party of 4 and instead of putting 2 tables together every couple that came in got a table (when we finally got a table, we saw many empty tables in the second floor, because the hostess is not a good manager). Also, we saw at least 2 parties of 4 arriving after us and she gave them a table before us. We complained and she spoke loud saying that they arrived before us, but we had been there for almost 2 hours so we saw the face of everyone in line, and it is not like they have phone msgs to alert you on the , I sincerely wish that management do something about it. In order for them to know which person I am talking about, I am giving her physical characteristics since I never got her name: she was African american and overweight. I believe I only got a table because the hostess overheard me talking about a web review. I am glad tools like this exist so persons like this don't get away with mistreating employees and management can know what is really going on in their restaurants. After this bad experience, even a Michelin restaurant food would taste bad. Many thanks",0
125283,1814,1.0,-1,2014-03-16,This place it's just terrible! The burger was good but our bartender kept down shots with customers and every time I kept asking her for something she gave us a look like we were interrupting her conversation. I understand the place it's busy regardless but I am a big believer in that every person should get the same service experience.,0
